date,sales
2019-01-05,33
2019-01-06,39
2019-01-07,32
2019-01-08,32
2019-01-09,42
2019-01-10,27
2019-01-11,25
2019-01-12,23
2019-01-13,38
2019-01-14,28
2019-01-15,21
2019-01-16,34
2019-01-17,22
2019-01-18,33
2019-01-19,30
2019-01-20,25
2019-01-21,25
2019-01-22,29
2019-01-23,36
2019-01-24,29
2019-01-25,22
2019-01-26,25
2019-01-27,21
2019-01-28,28
2019-01-29,32
2019-01-30,35
2019-01-31,23
2019-02-01,36
2019-02-02,36
2019-02-03,27
2019-02-04,28
2019-02-05,25
2019-02-06,39
2019-02-07,32
2019-02-08,28
2019-02-09,35
2019-02-10,27
2019-02-11,24
2019-02-12,34
2019-02-13,22
2019-02-14,30
2019-02-15,30
2019-02-16,26
2019-02-17,19
2019-02-18,30
2019-02-19,43
2019-02-20,30
2019-02-21,37
2019-02-22,32
2019-02-23,34
2019-02-24,33
2019-02-25,26
2019-02-26,26
2019-02-27,24
2019-02-28,35
2019-03-01,26
2019-03-02,37
2019-03-03,30
2019-03-04,29
2019-03-05,26
2019-03-06,27
2019-03-07,36
2019-03-08,26
2019-03-09,30
2019-03-10,32
2019-03-11,36
2019-03-12,29
2019-03-13,23
2019-03-14,24
2019-03-15,31
2019-03-16,18
2019-03-17,33
2019-03-18,38
2019-03-19,24
2019-03-20,26
2019-03-21,29
2019-03-22,23
2019-03-23,24
2019-03-24,30
2019-03-25,31
2019-03-26,23
2019-03-27,19
2019-03-28,32
2019-03-29,28
2019-03-30,23
2019-03-31,33
2019-04-01,28
2019-04-02,32
2019-04-03,34
2019-04-04,34
2019-04-05,25
2019-04-06,27
2019-04-07,36
2019-04-08,28
2019-04-09,33
2019-04-10,27
2019-04-11,32
2019-04-12,28
2019-04-13,26
2019-04-14,29
2019-04-15,32
2019-04-16,21
2019-04-17,23
2019-04-18,40
2019-04-19,19
2019-04-20,25
2019-04-21,24
2019-04-22,34
2019-04-23,28
2019-04-24,31
2019-04-25,36
2019-04-26,26
2019-04-27,35
2019-04-28,32
2019-04-29,26
2019-04-30,34
2019-05-01,25
2019-05-02,31
2019-05-03,35
2019-05-04,31
2019-05-05,34
2019-05-06,26
2019-05-07,34
2019-05-08,33
2019-05-09,23
2019-05-10,35
2019-05-11,21
2019-05-12,34
2019-05-13,24
2019-05-14,25
2019-05-15,27
2019-05-16,33
2019-05-17,28
2019-05-18,24
2019-05-19,29
2019-05-20,39
2019-05-21,28
2019-05-22,24
2019-05-23,35
2019-05-24,29
2019-05-25,31
2019-05-26,29
2019-05-27,33
2019-05-28,30
2019-05-29,33
2019-05-30,31
2019-05-31,31
2019-06-01,25
2019-06-02,25
2019-06-03,23
2019-06-04,25
2019-06-05,33
2019-06-06,19
2019-06-07,42
2019-06-08,24
2019-06-09,44
2019-06-10,37
2019-06-11,30
2019-06-12,27
2019-06-13,28
2019-06-14,35
2019-06-15,36
2019-06-16,15
2019-06-17,30
2019-06-18,32
2019-06-19,31
2019-06-20,32
2019-06-21,30
2019-06-22,30
2019-06-23,29
2019-06-24,38
2019-06-25,25
2019-06-26,33
2019-06-27,40
2019-06-28,32
2019-06-29,27
2019-06-30,22
2019-07-01,27
2019-07-02,25
2019-07-03,20
2019-07-04,36
2019-07-05,22
2019-07-06,31
2019-07-07,41
2019-07-08,29
2019-07-09,26
2019-07-10,28
2019-07-11,28
2019-07-12,30
2019-07-13,29
2019-07-14,32
2019-07-15,29
2019-07-16,31
2019-07-17,34
2019-07-18,20
2019-07-19,35
2019-07-20,34
2019-07-21,24
2019-07-22,39
2019-07-23,33
2019-07-24,27
2019-07-25,25
2019-07-26,32
2019-07-27,39
2019-07-28,30
2019-07-29,37
2019-07-30,27
2019-07-31,35
2019-08-01,21
2019-08-02,26
2019-08-03,26
2019-08-04,29
2019-08-05,32
2019-08-06,41
2019-08-07,28
2019-08-08,25
2019-08-09,30
2019-08-10,23
2019-08-11,32
2019-08-12,21
2019-08-13,24
2019-08-14,24
2019-08-15,30
2019-08-16,30
2019-08-17,30
2019-08-18,24
2019-08-19,23
2019-08-20,36
2019-08-21,24
2019-08-22,29
2019-08-23,31
2019-08-24,24
2019-08-25,37
2019-08-26,33
2019-08-27,21
2019-08-28,38
2019-08-29,29
2019-08-30,45
2019-08-31,34
2019-09-01,27
2019-09-02,26
2019-09-03,31
2019-09-04,29
2019-09-05,25
2019-09-06,36
2019-09-07,26
2019-09-08,23
2019-09-09,33
2019-09-10,36
2019-09-11,27
2019-09-12,26
2019-09-13,30
2019-09-14,25
2019-09-15,32
2019-09-16,32
2019-09-17,30
2019-09-18,33
2019-09-19,33
2019-09-20,24
2019-09-21,31
2019-09-22,37
2019-09-23,24
2019-09-24,29
2019-09-25,31
2019-09-26,28
2019-09-27,35
2019-09-28,34
2019-09-29,29
2019-09-30,21
2019-10-01,26
2019-10-02,27
2019-10-03,30
2019-10-04,27
2019-10-05,22
2019-10-06,35
2019-10-07,34
2019-10-08,31
2019-10-09,30
2019-10-10,21
2019-10-11,27
2019-10-12,23
2019-10-13,38
2019-10-14,31
2019-10-15,42
2019-10-16,32
2019-10-17,31
2019-10-18,39
2019-10-19,31
2019-10-20,29
2019-10-21,27
2019-10-22,31
2019-10-23,28
2019-10-24,26
2019-10-25,18
2019-10-26,17
2019-10-27,32
2019-10-28,32
2019-10-29,20
2019-10-30,26
2019-10-31,27
2019-11-01,24
2019-11-02,28
2019-11-03,28
2019-11-04,39
2019-11-05,30
2019-11-06,28
2019-11-07,29
2019-11-08,26
2019-11-09,30
2019-11-10,29
2019-11-11,34
2019-11-12,44
2019-11-13,32
2019-11-14,31
2019-11-15,27
2019-11-16,29
2019-11-17,23
2019-11-18,26
2019-11-19,34
2019-11-20,30
2019-11-21,26
2019-11-22,31
2019-11-23,33
2019-11-24,34
2019-11-25,29
2019-11-26,34
2019-11-27,25
2019-11-28,33
2019-11-29,32
2019-11-30,34
2019-12-01,27
2019-12-02,29
2019-12-03,28
2019-12-04,30
2019-12-05,26
2019-12-06,30
2019-12-07,32
2019-12-08,30
2019-12-09,19
2019-12-10,38
2019-12-11,29
2019-12-12,43
2019-12-13,31
2019-12-14,42
2019-12-15,31
2019-12-16,28
2019-12-17,30
2019-12-18,26
2019-12-19,27
2019-12-20,28
2019-12-21,29
2019-12-22,22
2019-12-23,28
2019-12-24,38
2019-12-25,35
2019-12-26,33
2019-12-27,31
2019-12-28,22
2019-12-29,36
2019-12-30,29
2019-12-31,25
